Date,B1,B2,B3,B4,B5,S1
2012-07-16,3,32,6,19,37,2
2012-07-18,26,25,4,28,32,5
2012-07-21,22,3,1,44,40,3
2012-07-23,40,31,38,23,28,3
2012-07-25,17,16,14,32,36,6
2012-07-28,29,4,6,39,7,3
2012-07-30,35,6,38,4,13,3
2012-08-01,33,45,17,30,11,6
2012-08-04,29,49,34,26,25,6
2012-08-06,12,7,10,34,47,7
2012-08-08,32,35,42,11,1,4
2012-08-11,7,1,10,45,44,9
2012-08-13,49,25,12,16,4,4
2012-08-15,13,24,2,15,19,5
2012-08-18,25,26,42,12,2,7
2012-08-20,45,26,33,27,11,2
2012-08-22,14,13,18,33,22,7
2012-08-25,9,13,2,29,10,9
2012-08-27,18,32,40,7,8,5
2012-08-29,20,29,26,11,8,9
2012-09-01,28,5,22,25,13,10
2012-09-03,34,27,22,18,37,3
2012-09-05,37,8,1,26,10,4
2012-09-08,9,22,43,34,15,4
2012-09-10,19,28,43,3,25,9
2012-09-12,32,1,49,12,38,8
2012-09-15,17,21,43,37,15,2
2012-09-17,16,25,14,7,17,7
2012-09-19,49,5,34,27,41,7
2012-09-22,17,23,37,44,25,9
2012-09-24,41,18,40,1,21,6
2012-09-26,42,29,38,12,46,9
2012-09-29,21,18,47,10,7,1
2012-10-01,34,2,40,29,41,6
2012-10-03,16,44,25,26,24,1
2012-10-06,27,1,47,30,39,4
2012-10-08,39,32,24,13,27,2
2012-10-10,16,35,37,3,19,3
2012-10-13,41,49,1,35,16,4
2012-10-15,7,23,11,39,44,8
2012-10-17,19,10,32,20,13,2
2012-10-20,34,14,11,24,41,5
2012-10-22,28,25,24,14,41,5
2012-10-24,30,24,5,40,17,7
2012-10-27,29,2,41,47,10,1
2012-10-29,19,16,46,13,38,7
2012-10-31,29,23,41,16,5,1
2012-11-03,15,11,9,22,36,8
2012-11-05,27,14,37,9,33,7
2012-11-07,34,16,21,2,40,7
2012-11-10,19,46,17,3,43,5
2012-11-12,25,45,20,6,48,7
2012-11-14,29,40,39,46,21,8
2012-11-17,8,6,27,37,33,7
2012-11-19,6,41,16,1,3,1
2012-11-21,10,43,6,4,46,10
2012-11-24,18,21,19,5,28,2
2012-11-26,35,15,48,44,9,6
2012-11-28,16,34,28,4,11,1
2012-12-01,19,25,12,45,44,10
2012-12-03,39,25,16,6,11,6
2012-12-05,28,24,36,45,27,8
2012-12-08,22,47,45,24,28,2
2012-12-10,36,16,4,20,47,8
2012-12-12,37,19,32,36,20,4
2012-12-15,26,24,11,33,41,9
2012-12-17,16,27,39,29,32,5
2012-12-19,5,10,25,19,49,8
2012-12-22,47,1,2,34,24,1
2012-12-24,5,12,32,7,47,6
2012-12-26,3,17,31,5,2,9
2012-12-29,45,7,11,37,23,4
2012-12-31,4,47,21,44,36,3
2013-01-02,33,21,37,22,31,4
2013-01-05,30,46,47,6,45,6
2013-01-07,45,31,15,32,48,5
2013-01-09,30,33,22,29,26,9
2013-01-12,13,48,40,6,37,7
2013-01-14,35,30,10,37,7,6
2013-01-16,27,6,16,24,46,5
2013-01-19,22,23,45,42,9,8
2013-01-21,35,7,32,38,22,6
2013-01-23,11,49,36,9,19,6
2013-01-26,18,39,2,23,34,6
2013-01-28,38,29,20,40,28,9
2013-01-30,41,31,40,11,48,5
2013-02-02,45,33,7,6,34,3
2013-02-04,34,33,18,6,30,2
2013-02-06,40,3,7,33,25,1
2013-02-09,23,5,2,47,4,7
2013-02-11,25,42,1,36,45,7
2013-02-13,39,48,19,46,14,2
2013-02-16,19,34,26,27,4,6
2013-02-18,2,13,19,41,5,5
2013-02-20,6,8,42,27,7,1
2013-02-23,47,36,42,30,45,5
2013-02-25,43,18,17,14,46,2
2013-02-27,25,40,21,34,6,7
2013-03-02,18,38,5,22,30,2
2013-03-04,47,1,45,9,30,10
2013-03-06,28,36,42,26,44,4
2013-03-09,49,4,40,11,22,5
2013-03-11,8,16,44,7,49,6
2013-03-13,13,12,34,41,40,7
2013-03-16,16,5,46,33,38,5
2013-03-18,10,20,18,24,32,9
2013-03-20,37,5,1,49,12,7
2013-03-23,17,11,41,9,24,6
2013-03-25,29,25,14,41,10,4
2013-03-27,21,47,24,49,33,3
2013-03-30,26,10,9,30,34,2
2013-04-01,47,16,10,43,27,2
2013-04-03,36,18,37,42,45,8
2013-04-06,15,29,42,1,33,7
2013-04-08,19,6,38,8,37,2
2013-04-10,9,18,3,45,28,5
2013-04-13,23,43,22,41,33,4
2013-04-15,45,20,21,26,46,3
2013-04-17,38,16,32,12,29,8
2013-04-20,28,24,3,42,9,9
2013-04-22,22,16,11,37,14,1
2013-04-24,1,48,13,6,5,9
2013-04-27,17,26,39,19,9,10
2013-04-29,12,21,39,11,27,9
2013-05-01,7,41,31,32,4,9
2013-05-04,6,13,40,45,15,4
2013-05-06,48,13,15,24,23,7
2013-05-08,13,5,43,25,15,10
2013-05-11,26,49,45,3,16,9
2013-05-13,23,29,40,49,15,5
2013-05-15,32,27,8,13,11,4
2013-05-18,4,5,20,7,17,3
2013-05-20,47,27,25,23,9,3
2013-05-22,3,34,2,17,13,9
2013-05-25,42,7,36,13,40,2
2013-05-27,37,15,9,28,13,2
2013-05-29,34,41,48,23,45,7
2013-06-01,21,30,8,7,6,3
2013-06-03,14,4,38,34,25,9
2013-06-05,27,41,23,25,4,1
